x,y_mean,y_std
3.232000000000000000e+04,5.210851444802420129e-01,2.477081552532052131e-02
2.355356734693877515e+05,5.198158592711806802e-01,2.004313522298872829e-02
4.387513469387755031e+05,5.169660499159113298e-01,2.870673959239131157e-02
6.419670204081633128e+05,5.136524118121972293e-01,3.743602166533361447e-02
8.451826938775510062e+05,5.107328650996665331e-01,3.869057336095685362e-02
1.048398367346938699e+06,5.095570112098175564e-01,2.974662306530598266e-02
1.251614040816326626e+06,5.113097803129932339e-01,1.838418254323537573e-02
1.454829714285714319e+06,5.151229738849589790e-01,1.269513697679466521e-02
1.658045387755102012e+06,5.197525201389809890e-01,1.720903965005214989e-02
1.861261061224489706e+06,5.242582472786361247e-01,3.198561688496281280e-02
2.064476734693877399e+06,5.284730866072273603e-01,3.541257295150844475e-02
2.267692408163265325e+06,5.340625195699634231e-01,2.860977792089752086e-02
2.470908081632653251e+06,5.394970474215753375e-01,2.047832337730385796e-02
2.674123755102040712e+06,5.403542033435381198e-01,2.158844087661471178e-02
2.877339428571428638e+06,5.387721360973276585e-01,2.815983227716892939e-02
3.080555102040816098e+06,5.417275110089826429e-01,3.153491390343413081e-02
3.283770775510204025e+06,5.502661200980046852e-01,3.054329117945748379e-02
3.486986448979591951e+06,5.568250279810211811e-01,3.096168436121653558e-02
3.690202122448979411e+06,5.555536754927417054e-01,3.491351227566277110e-02
3.893417795918367337e+06,5.506541785623835228e-01,3.756314390911035667e-02
4.096633469387754798e+06,5.499638630737487821e-01,3.535346977051954248e-02
4.299849142857142724e+06,5.526532220733318956e-01,3.328447425478432697e-02
4.503064816326530650e+06,5.534622743508224030e-01,3.701375217741095791e-02
4.706280489795918576e+06,5.553033681103550778e-01,3.927355684372263456e-02
4.909496163265306503e+06,5.644774615199217305e-01,4.012723397503094314e-02
5.112711836734693497e+06,5.792052024793749032e-01,4.040179601496935585e-02
5.315927510204081424e+06,5.925550039222867715e-01,3.770816071774633210e-02
5.519143183673469350e+06,6.020977695908513727e-01,3.831254401304027418e-02
5.722358857142857276e+06,6.092965815173135846e-01,4.400476969528967913e-02
5.925574530612245202e+06,6.162562988062177949e-01,5.121106865172450617e-02
6.128790204081632197e+06,6.250689762185203113e-01,5.606471317111810793e-02
6.332005877551020123e+06,6.366983569703925649e-01,5.682007602518759221e-02
6.535221551020408049e+06,6.506490374877957894e-01,5.362409258860056926e-02
6.738437224489795975e+06,6.643006718220976214e-01,4.814434658991156163e-02
6.941652897959183902e+06,6.740854166063372510e-01,4.395214462351103302e-02
7.144868571428570896e+06,6.780391283936607616e-01,4.176878098748537660e-02
7.348084244897958823e+06,6.753004867225647079e-01,3.744038456361036687e-02
7.551299918367346749e+06,6.677164281849348182e-01,3.022510562441431056e-02
7.754515591836734675e+06,6.618665966211720875e-01,2.763504668110470033e-02
7.957731265306122601e+06,6.607204290989427964e-01,3.079326475967066740e-02
8.160946938775509596e+06,6.601309033484931144e-01,3.717390103321922823e-02
8.364162612244897522e+06,6.591729173543100506e-01,4.119533732195712616e-02
8.567378285714285448e+06,6.627014220967739622e-01,3.413342805419603693e-02
8.770593959183672443e+06,6.729263489830039635e-01,2.461326250483063249e-02
8.973809632653061301e+06,6.857758901930735007e-01,2.745413129654798376e-02
9.177025306122448295e+06,6.954538689713073429e-01,3.201921678129574650e-02
9.380240979591837153e+06,6.981572363694904526e-01,3.486978654245830034e-02
9.583456653061224148e+06,6.941881310416166961e-01,4.073525092902209599e-02
9.786672326530613005e+06,6.880970226466105455e-01,4.576132282298572829e-02
9.989888000000000000e+06,6.835141803000792660e-01,4.653683420410238691e-02
